,neg,neu,pos,compound
widow,0.059246913580246904,0.8342962962962962,0.10645679012345681,0.04386666666666666
diana,0.09934640522875818,0.8040457516339871,0.09661437908496733,0.018830718954248385
mariana,0.08113541666666665,0.7961145833333335,0.12276041666666666,0.06858541666666666
secondsoldier,0.0,0.9207619047619047,0.07923809523809525,0.08992857142857143
gentleman,0.07338364779874214,0.8419245283018869,0.08470440251572325,0.01048553459119497
orlando,0.07897784810126582,0.803746835443038,0.11728481012658232,0.05140727848101266
adam,0.08546376811594203,0.7902173913043476,0.12431884057971017,0.05727826086956523
oliver,0.05164743589743589,0.8374679487179488,0.1108846153846154,0.07625705128205129
dennis,0.0,0.7566666666666667,0.24333333333333332,0.22546666666666668
celia,0.051106529209622,0.8016529209621992,0.14724398625429547,0.14140446735395176
rosalind,0.07490154711673701,0.7971420534458504,0.12795358649789026,0.08920281293952179
touchstone,0.0720944055944056,0.7930244755244755,0.1348881118881119,0.10258181818181816
lebeau,0.05343478260869565,0.7918478260869565,0.15471739130434783,0.15407608695652172
dukefrederick,0.07272727272727271,0.8593896103896104,0.06788311688311689,-0.0020000000000000052
dukesenior,0.0642857142857143,0.7863361344537814,0.1493949579831933,0.1152344537815126
amiens,0.06392500000000001,0.787725,0.14834999999999998,0.08903500000000002
corin,0.07421917808219178,0.7812739726027396,0.14447945205479457,0.10197808219178084
silvius,0.10698701298701298,0.7297662337662338,0.16328571428571426,0.06973636363636365
jaques,0.08464556962025314,0.7916413502109705,0.12371308016877638,0.06584303797468352
audrey,0.06205263157894737,0.664,0.27394736842105266,0.28054210526315787
sirolivermartext,0.027857142857142858,0.8881428571428572,0.08399999999999999,0.09524285714285716
phebe,0.07804395604395603,0.7915604395604395,0.1303956043956044,0.06893406593406595
alord,0.0,1.0,0.0,0.0
forester,0.11731578947368419,0.7858421052631579,0.0968421052631579,-0.07431578947368422
william,0.05292307692307692,0.6983076923076923,0.24876923076923077,0.21064615384615387
firstpage,0.17600000000000002,0.678,0.146,-0.10390000000000002
secondpage,0.0,0.8807272727272728,0.11927272727272728,0.15739999999999998
hymen,0.038870967741935485,0.746516129032258,0.21458064516129033,0.2221516129032258
jaquesdeboys,0.0,0.8981764705882352,0.1018235294117647,0.12981176470588238
philo,0.06538888888888889,0.8113888888888887,0.12322222222222222,0.0862611111111111
cleopatra,0.07506873315363878,0.812454177897573,0.11247708894878697,0.04303854447439354
markantony,0.07391262135922332,0.8160388349514565,0.11004207119741097,0.045918446601941706
attendant,0.036,0.8136666666666666,0.15033333333333335,0.07709999999999999
demetrius,0.08187692307692307,0.8069692307692307,0.11115769230769228,0.048331923076923085
charmian,0.06134482758620689,0.8164827586206896,0.12216379310344827,0.06048017241379311
alexas,0.01640625,0.84725,0.13634374999999999,0.12710312499999998
soothsayer,0.035148936170212766,0.857095744680851,0.1077659574468085,0.08271808510638297
domitiusenobarbus,0.07760880829015544,0.8232694300518133,0.09911917098445591,0.02797487046632125
iras,0.08892,0.7548000000000001,0.15624000000000002,0.070408
